latitude,longitude,accommodates,bedrooms,beds,price
51.47634,-0.15068,2,1,1,$60.00 
51.51739,-0.21402,2,2,1,$65.00 
51.50451,-0.29203,1,1,1,$30.00 
51.46958,-0.13004,2,1,1,$138.00 
51.56394,-0.01025,1,1,1,$100.00 
51.48406,-0.26182,2,1,1,$40.00 
51.45573,-0.05166,1,1,1,$45.00 
51.55235,-0.12384,2,1,1,$85.00 
51.50144,-0.25678,4,1,3,$38.00 
51.57291,0.14562,1,1,1,$46.00 
51.45735,-0.01614,2,1,1,$36.00 
51.52249,-0.10525,2,1,1,$60.00 
51.52493,0.03679,2,1,1,$20.00 
51.53258,-0.01141,2,2,1,$200.00 
51.53185,-0.08152,2,1,1,$100.00 
51.55163,-0.0745,2,1,1,$57.00 
51.54829,0.1611,2,1,1,$20.00 
51.56285,-0.19551,5,2,2,$95.00 
51.59635,-0.19098,1,1,1,$35.00 
51.50743,-0.22568,2,1,3,$60.00 
51.49416,-0.06148,1,1,1,$45.00 
51.57034,-0.11096,2,1,1,$70.00 
51.40208,-0.0987,2,1,1,$20.00 
51.53169,-0.3761,2,1,1,$50.00 
51.45644,-0.03757,2,1,1,$60.00 
51.52864,0.00945,4,1,1,$50.00 
51.41868,-0.12462,2,1,2,$25.00 
51.41757,-0.12453,3,,3,$25.00 
51.54439,0.05872,2,1,1,$175.00 
51.50137,-0.06898,4,2,2,$125.00 
51.534,-0.23784,6,2,,$235.00 
51.53338,-0.00996,6,2,2,$300.00 
51.53771,-0.08668,3,1,1,$80.00 
51.48311,-0.18428,3,1,2,$99.00 
51.49605,-0.06932,6,2,4,$75.00 
51.50062,0.03117,2,1,1,$135.00 
51.55025,-0.18445,4,1,1,$381.00 
51.44166,-0.1377,7,3,5,$160.00 
51.44553,-0.13773,1,1,1,$30.00 
51.54403,0.00917,2,1,1,$100.00 
51.54267,-0.14519,4,1,1,$49.00 
51.544,-0.14509,9,3,3,$250.00 
51.52804,-0.06444,2,1,1,$135.00 
51.61154,-0.01863,2,1,1,$45.00 
51.61654,-0.14936,2,1,1,$50.00 
51.52832,-0.10085,1,1,1,$45.00 
51.56956,-0.10778,6,3,4,$240.00 
51.53555,-0.11739,2,1,1,$39.00 
51.45511,-0.10869,2,1,1,$32.00 
51.54482,-0.11008,1,1,1,$70.00 
51.59164,-0.22492,4,2,0,$200.00 
51.46264,-0.01505,2,1,1,$29.00 
51.52077,0.02479,3,1,3,$45.00 
51.54071,-0.22338,7,4,4,$250.00 
51.53023,-0.21417,2,1,1,$42.00 
51.55324,-0.22808,4,2,1,$99.00 
51.53197,-0.08922,4,2,3,$55.00 
51.52907,-0.0409,4,2,2,$195.00 
51.59737,-0.09714,2,1,2,$25.00 
51.51551,-0.2146,2,1,1,$61.00 
51.53238,-0.06578,3,1,2,$68.00 
51.52795,-0.08272,4,2,2,$99.00 
51.46299,-0.22336,2,1,1,$75.00 
51.46316,-0.22124,1,1,1,$45.00 
51.49907,-0.08119,4,2,3,$110.00 
51.50403,-0.14913,2,1,1,$100.00 
51.39335,0.11933,3,1,1,$25.00 
51.60081,-0.11489,4,1,1,$45.00 
51.54314,-0.08991,2,1,1,$120.00 
51.42741,0.008,2,1,1,$87.00 
51.42694,0.00703,2,1,1,$86.00 
51.5491,-0.18469,2,1,1,$58.00 
51.48622,-0.11933,2,1,2,$95.00 
51.55586,-0.09366,2,1,2,$67.00 
51.49368,-0.13027,1,1,2,$117.00 
51.58467,0.02784,2,2,1,$75.00 
51.56598,-0.08578,4,2,2,$150.00 
51.47219,-0.18464,2,1,1,$45.00 
51.48734,-0.21673,3,2,2,$65.00 
51.53962,-0.14268,6,2,3,$85.00 
51.44036,-0.13369,1,1,1,$27.00 
51.52919,-0.03785,4,1,1,$100.00 
51.42259,-0.16387,5,2,3,$80.00 
51.54093,-0.05371,3,2,2,$101.00 
51.50046,-0.11482,2,1,1,$53.00 
51.50195,-0.24959,2,1,1,$70.00 
51.40296,-0.25044,4,1,2,$80.00 
51.59895,-0.00705,2,1,1,$30.00 
51.49819,-0.13836,3,1,1,$100.00 
51.42675,-0.16785,2,1,1,$36.00 
51.42525,-0.16636,3,2,1,$120.00 
51.48364,-0.26736,2,1,0,$111.00 
51.52703,-0.04058,2,1,1,$60.00 
51.52801,-0.04198,2,1,1,$30.00 
51.55149,-0.0787,2,1,1,$48.00 
51.48249,-0.19929,4,2,2,$92.00 
51.55514,-0.05649,7,4,5,$150.00 
51.45954,-0.3234,6,2,3,$130.00 
51.54049,-0.09041,2,1,3,$44.00 
51.54929,-0.22403,2,1,1,$30.00 
51.48808,-0.19523,4,2,2,$143.00 
51.44259,-0.12949,3,1,2,$66.00 
51.53862,-0.0991,4,1,1,$95.00 
51.55817,-0.01114,2,1,1,$39.00 
51.45084,-0.12378,3,1,1,$61.00 
51.44773,-0.12252,2,1,1,$55.00 
51.53547,-0.05543,1,1,1,$28.00 
51.53529,-0.05659,2,1,1,$70.00 
51.50364,-0.22161,4,1,2,$60.00 
51.54342,-0.13848,5,1,1,$300.00 
51.55698,-0.07609,4,2,1,$306.00 
51.48593,-0.36729,1,1,1,$35.00 
51.42833,-0.34646,2,1,0,$35.00 
51.56047,-0.06469,2,1,1,$65.00 
51.52801,-0.05823,2,1,1,$34.00 
51.5389,-0.11298,2,1,0,$122.00 
51.50331,-0.24071,1,1,0,$30.00 
51.5033,-0.24057,1,1,1,$35.00 
51.48698,-0.36862,1,1,1,$44.00 
51.46107,-0.21945,1,1,,$908.00 
51.5178,-0.2009,3,1,2,$85.00 
51.61599,0.04658,2,1,1,$50.00 
51.42577,-0.19877,1,1,0,$30.00 
51.4584,-0.10664,2,1,1,$51.00 
51.51813,0.01694,2,1,1,$80.00 
51.60536,-0.14502,1,1,1,$24.00 
51.39762,-0.1979,1,1,1,$12.00 
51.56054,-0.07686,7,4,7,$140.00 
51.45763,0.01153,1,1,1,$80.00 
51.53096,-0.06332,2,1,1,$56.00 
51.5441,-0.14007,3,1,1,$70.00 
51.54434,-0.13994,4,1,2,$140.00 
51.4879,-0.27038,2,1,1,$65.00 
51.59113,0.08057,2,1,1,$150.00 
51.51303,-0.03737,1,1,1,$28.00 
51.53883,-0.19502,2,1,1,$72.00 
51.50866,-0.01855,1,1,1,$52.00 
51.58127,-0.31343,2,1,1,$70.00 
51.58162,-0.01395,1,1,1,$28.00 
51.59708,-0.1054,2,1,1,$48.00 
51.61367,-0.16519,2,1,,$100.00 
51.51838,-0.14238,2,,1,$100.00 
51.42869,-0.08399,2,1,1,$230.00 
51.57092,0.07648,2,1,1,$28.00 
51.52894,-0.21267,2,1,1,$49.00 
51.57034,-0.1461,1,1,0,$22.00 
51.4203,-0.23533,2,1,2,$85.00 
51.52145,-0.05234,3,1,2,$78.00 
51.50174,-0.08908,2,1,1,$90.00 
51.50742,-0.22735,1,1,1,$42.00 
51.47386,-0.16355,2,1,2,$54.00 
51.40943,0.0062,2,1,1,$50.00 
51.41138,-0.17918,1,1,1,$40.00 
51.53569,-0.0775,2,1,1,$50.00 
51.54131,0.00376,2,2,1,$40.00 
51.42433,-0.30966,1,1,1,$35.00 
51.41575,-0.23476,8,4,5,$230.00 
51.46479,-0.32628,1,1,1,$33.00 
51.52853,-0.19559,1,1,1,$42.00 
51.60877,0.0404,1,1,1,$35.00 
51.49343,0.01198,1,1,2,$28.00 
51.47641,-0.39549,2,1,1,$15.00 
51.49162,-0.1433,1,1,1,$58.00 
51.43263,-0.06485,2,1,1,$32.00 
51.48888,0.00457,2,1,1,$48.00 
51.49226,-0.14042,2,1,1,$95.00 
51.45512,-0.03789,2,1,1,$28.00 
51.4556,-0.04011,1,2,1,$25.00 
51.47273,-0.20289,2,1,1,$60.00 
51.44448,-0.19993,2,1,1,$48.00 
51.49954,0.08719,2,1,1,$35.00 
51.53164,-0.07,2,1,1,$50.00 
51.53919,-0.09011,8,3,4,$134.00 
51.56075,0.04069,2,1,1,$200.00 
51.54594,-0.13718,2,2,2,$80.00 
51.5217,-0.32281,4,,2,$59.00 
51.55473,-0.12151,1,1,1,$39.00 
51.50844,0.05878,1,1,1,$26.00 
51.45255,-0.05013,4,2,2,$35.00 
51.48152,-0.18193,1,1,1,$35.00 
51.46068,-0.18589,1,1,0,$40.00 
51.5273,-0.11032,5,3,3,$155.00 
51.47573,-0.20683,2,1,1,$60.00 
51.48127,-0.20149,2,1,1,$60.00 
51.48629,0.09358,2,1,2,$100.00 
51.54813,0.01027,3,1,1,$200.00 
51.45468,-0.11875,2,1,1,$64.00 
51.54517,-0.03103,2,1,,$48.00 
51.58084,-0.1042,2,1,1,$33.00 
51.49315,-0.01897,4,2,2,$360.00 
51.51778,-0.20991,7,3,4,$226.00 
51.52231,-0.09144,1,1,1,$44.00 
51.50133,-0.10996,1,1,1,$60.00 
51.48566,-0.18415,5,2,2,$195.00 
51.53001,-0.05372,6,2,3,$110.00 
51.40749,-0.00514,2,1,1,$60.00 
51.58274,-0.12719,3,2,2,$60.00 
51.53958,-0.07892,2,1,1,$95.00 
51.45728,-0.32257,4,1,2,$460.00 
51.59084,-0.02936,1,1,1,$20.00 
51.55039,-0.17041,5,1,3,$200.00 
51.5793,-0.07794,2,1,2,$45.00 
51.48781,-0.20448,6,2,3,$98.00 
51.5275,-0.06445,2,1,1,$75.00 
51.54762,-0.08385,1,1,1,$42.00 
51.41869,-0.16277,2,1,1,$55.00 
51.40649,-0.22979,3,1,1,$70.00 
51.54815,-0.36331,2,1,1,$48.00 
51.45967,-0.11233,1,1,1,$200.00 
51.55465,-0.05765,2,1,1,$53.00 
51.54554,-0.05919,4,1,1,$70.00 
51.60046,0.02989,2,1,2,$49.00 
51.37189,-0.10183,4,1,,$115.00 
51.48553,0.09638,3,1,1,$100.00 
51.43451,-0.06481,1,1,0,$27.00 
51.42736,-0.1911,4,2,2,$75.00 
51.46216,-0.13707,2,1,1,$99.00 
51.44824,-0.10286,2,1,1,$50.00 
51.48904,-0.01928,1,1,1,$86.00 
51.55315,-0.29469,2,1,1,$70.00 
51.56908,-0.11513,4,2,3,$50.00 
51.52644,-0.07945,14,,7,$611.00 
51.526,-0.07928,14,,7,$507.00 
51.52124,-0.11307,2,1,1,$30.00 
51.5377,-0.00068,3,2,2,$105.00 
51.63174,-0.18855,2,1,,$110.00 
51.43929,0.00457,1,1,0,$100.00 
51.56021,-0.04736,2,1,1,$50.00 
51.55194,-0.12384,2,1,1,$77.00 
51.51695,-0.19649,3,1,2,$115.00 
51.44259,-0.04576,1,1,1,$24.00 
51.55653,-0.17348,7,3,3,$500.00 
51.47833,-0.1032,3,1,3,$150.00 
51.47761,-0.10295,2,1,1,$140.00 
51.4792,-0.10353,2,1,1,$140.00 
51.53914,-0.19899,5,2,4,$83.00 
51.52,-0.10495,2,1,0,$115.00 
51.49828,-0.01929,6,2,2,$159.00 
51.54143,-0.14646,8,2,6,$180.00 
51.53772,-0.14038,2,1,1,$46.00 
51.57656,-0.10911,4,2,2,$98.00 
51.53806,-0.10077,1,1,1,$49.00 
51.55715,-0.06981,2,1,1,$120.00 
51.46542,-0.00746,2,1,1,$24.00 
51.47393,0.05775,5,1,2,$250.00 
51.42389,-0.01298,2,1,1,$29.00 
51.4275,-0.15909,6,2,1,$178.00 
51.56242,-0.08207,2,1,1,$40.00 
51.44057,-0.1346,1,1,0,$32.00 
51.4983,-0.2131,2,,1,$79.00 
51.60896,-0.29285,1,1,1,$25.00 
51.50172,0.08596,2,1,1,$150.00 
51.56948,-0.07928,2,1,1,$55.00 
